target;aX;aY;aZ;gX;gY;gZ
1;0.194;0.091;1.078;-7.324;-37.476;-1.953
1;0.204;0.127;1.129;-4.15;-38.33;-5.615
1;0.182;0.141;1.175;1.648;-38.147;-11.292
1;0.156;0.138;1.173;8.301;-34.973;-15.747
1;0.146;0.134;1.161;12.817;-27.649;-18.25
1;0.129;0.12;1.14;15.503;-18.311;-18.616
1;0.124;0.093;1.112;16.479;-8.789;-17.456
1;0.135;0.081;1.083;16.052;-0.61;-15.076
1;0.14;0.068;1.047;16.785;5.188;-12.207
1;0.141;0.042;1.021;18.372;7.446;-9.888
1;0.152;0.02;1.002;18.982;6.531;-8.179
1;-0.285;-0.994;1.311;-3.723;18.25;9.033
1;-0.28;-1.056;1.269;-0.183;20.447;15.564
1;-0.281;-1.111;1.207;3.723;23.804;23.315
1;-0.28;-1.151;1.138;5.371;23.437;29.785
1;-0.307;-1.165;1.085;5.432;18.86;34.546
1;-0.351;-1.156;1.051;4.395;13.611;39.612
1;-0.405;-1.15;1.002;4.761;14.526;44.983
1;-0.449;-1.147;0.906;8.057;23.01;49.927
1;-0.482;-1.145;0.787;9.46;33.02;57.129
1;-0.532;-1.117;0.665;7.751;38.025;67.993
1;-0.597;-1.038;0.53;5.615;37.537;81.726
1;-0.63;-0.919;0.384;4.089;32.288;101.257
1;-0.65;-0.772;0.24;1.892;21.973;126.465
1;-0.671;-0.52;0.109;-2.502;8.85;153.137
1;-0.659;-0.192;-0.034;-10.254;-3.784;177.49
1;-0.617;0.257;-0.217;-21.912;-12.512;199.341
1;-0.631;0.746;-0.32;-40.161;-22.278;217.529
1;-0.636;1.216;-0.257;-68.42;-36.865;227.234
1;-0.534;1.598;-0.075;-98.572;-49.011;226.99
1;-0.461;2.054;0.095;-116.699;-49.622;221.008
1;-0.367;2.453;0.238;-125.977;-40.588;213.379
1;-0.15;2.725;0.388;-133.179;-25.94;206.726
1;0.212;2.915;0.65;-143.677;-10.559;201.904
1;0.492;2.97;1.03;-153.015;-3.418;190.125
1;0.731;2.989;1.434;-151.306;6.348;168.518
1;0.935;2.928;1.736;-135.132;21.545;143.555
1;1.144;2.788;1.864;-108.704;36.865;114.197
1;1.281;2.591;1.78;-70.557;53.101;79.468
1;1.257;2.229;1.515;-25.33;58.35;38.574
1;1.08;1.906;1.216;18.738;53.894;-3.479
1;0.873;1.643;0.946;52.856;44.495;-40.1
1;0.672;1.412;0.747;75.256;27.588;-64.941
1;0.493;1.282;0.632;85.205;2.258;-82.214
1;0.368;1.232;0.581;83.862;-26.55;-98.633
1;0.233;1.147;0.561;76.538;-45.166;-109.497
1;0.152;1.049;0.568;67.261;-51.27;-116.15
1;0.113;1.016;0.586;57.983;-48.767;-117.981
1;0.094;1.034;0.579;49.438;-43.091;-114.014
1;0.099;1.117;0.561;41.992;-41.321;-109.192
1;0.083;1.168;0.635;38.086;-49.194;-110.779
1;0.049;1.175;0.724;42.969;-66.162;-116.211
1;0.041;1.131;0.776;57.556;-81.787;-115.051
1;-0.001;1.061;0.802;75.623;-89.966;-107.666
1;0.011;1.019;0.796;85.205;-84.534;-102.417
1;0.036;0.953;0.764;90.698;-74.097;-104.248
1;0.033;0.839;0.741;92.468;-65.979;-109.253
1;-0.013;0.651;0.697;92.102;-52.551;-113.586
1;-0.038;0.438;0.619;90.149;-32.043;-117.126
1;-0.078;0.245;0.569;84.229;-19.531;-122.498
1;-0.102;0.06;0.539;74.463;-18.127;-125.977
1;-0.119;-0.099;0.542;62.988;-22.888;-126.648
1;-0.146;-0.185;0.563;48.279;-32.837;-126.831
1;-0.18;-0.261;0.622;31.555;-43.701;-127.197
1;-0.245;-0.359;0.759;16.174;-49.988;-126.038
1;-0.329;-0.423;0.916;4.15;-51.758;-122.62
1;-0.399;-0.471;1.016;2.136;-47.668;-118.164
1;-0.45;-0.538;1.094;10.559;-38.635;-111.267
1;-0.488;-0.578;1.157;20.569;-27.283;-101.868
1;-0.481;-0.645;1.187;26.062;-13.489;-91.675
1;-0.469;-0.726;1.188;28.32;-0.244;-82.581
1;-0.479;-0.757;1.154;29.175;8.301;-76.172
1;-0.488;-0.765;1.145;28.32;11.536;-69.763
1;-0.481;-0.775;1.151;28.503;13.367;-64.27
1;-0.479;-0.806;1.149;29.785;16.907;-58.289
1;-0.476;-0.819;1.132;31.555;24.048;-51.453
1;-0.457;-0.833;1.095;33.752;33.875;-45.41
1;-0.441;-0.853;1.063;35.889;43.091;-40.283
1;-0.41;-0.872;1.046;36.865;50.476;-33.691
1;-0.306;-0.881;0.977;37.964;57.251;-24.109
1;-0.096;-0.914;0.828;41.626;64.148;-11.841
1;0.148;-0.897;0.655;43.579;66.162;-0.977
1;0.334;-0.812;0.522;35.217;54.382;0.61
1;0.364;-0.71;0.509;16.113;26.917;-10.498
1;0.206;-0.57;0.644;-9.705;-13.794;-30.029
1;-0.058;-0.45;0.839;-32.471;-57.922;-47.058
1;-0.348;-0.332;1.103;-44.678;-91.431;-51.758
1;-0.544;-0.188;1.358;-45.898;-104.797;-38.452
1;-0.584;-0.125;1.526;-35.156;-91.675;-14.099
1;-0.464;-0.114;1.546;-17.822;-60.12;5.432
1;-0.299;-0.088;1.428;-0.183;-24.109;13
1;-0.182;-0.074;1.255;13.367;5.92;10.742
1;-0.096;-0.081;1.093;19.836;29.968;7.141
1;-0.009;-0.105;0.946;21.362;48.584;6.592
1;0.066;-0.129;0.829;20.569;56.274;9.583
1;0.143;-0.133;0.735;18.921;53.162;15.503
1;0.221;-0.103;0.671;16.785;44.128;22.278
1;0.28;-0.071;0.64;13.733;33.325;27.832
1;0.318;-0.03;0.647;8.667;22.217;28.748
1;0.324;0.003;0.7;0.732;9.583;24.231
1;0.297;0.014;0.773;-7.446;-1.404;16.541
1;0.236;0.012;0.842;-13.062;-9.766;7.385
1;0.147;0;0.917;-16.541;-15.93;0.061
1;0.084;-0.021;0.983;-17.395;-18.982;-3.479
1;0.065;-0.028;1.03;-16.235;-18.433;-3.723
1;0.075;-0.034;1.063;-14.648;-13.855;-2.869
1;0.095;-0.044;1.094;-13.245;-8.301;-3.296
1;0.099;-0.051;1.107;-11.169;-5.005;-5.432
1;0.097;-0.059;1.116;-7.568;-2.93;-6.836
1;0.089;-0.069;1.13;-4.15;-2.625;-6.226
1;0.091;-0.071;1.13;-0.549;-2.014;-3.845
1;0.102;-0.065;1.12;1.587;-0.488;-1.587
1;0.119;-0.053;1.106;2.502;1.709;-0.549
1;0.127;-0.043;1.1;2.258;3.967;-0.427
1;0.127;-0.037;1.09;2.869;5.493;-0.793
1;0.116;-0.035;1.062;5.31;6.775;-1.221
1;0.108;-0.045;1.031;7.812;7.751;-1.892
1;0.101;-0.059;1.001;9.155;7.202;-2.808
1;0.095;-0.073;0.969;9.888;6.897;-3.052
1;0.096;-0.08;0.939;9.705;5.737;-2.38
1;0.098;-0.083;0.93;8.24;3.662;-1.709
1;0.095;-0.088;0.929;6.714;1.465;-1.77
1;0.083;-0.086;0.932;5.249;-0.61;-2.197
1;0.072;-0.083;0.943;4.15;-2.563;-1.77
1;0.064;-0.077;0.954;4.15;-3.357;-1.099
1;0.067;-0.068;0.951;3.967;-1.892;-0.854
1;0.082;-0.05;0.945;3.54;0.61;-0.916
1;0.089;-0.041;0.949;2.93;3.235;-1.038
1;0.081;-0.044;0.961;3.601;5.432;-1.038
1;0.078;-0.054;0.965;6.165;6.653;-0.854
1;-0.406;-1.062;1.249;-0.61;39.551;-9.46
1;-0.451;-1.194;1.2;0.366;43.213;-3.052
1;-0.472;-1.285;1.122;0.732;40.405;7.141
1;-0.488;-1.34;1.07;-0.427;30.762;20.569
1;-0.49;-1.367;1.035;-4.456;17.944;35.583
1;-0.491;-1.359;0.993;-9.827;8.484;49.377
1;-0.473;-1.313;0.938;-15.076;5.005;62.378
1;-0.471;-1.326;0.884;-19.592;6.042;72.876
1;-0.49;-1.329;0.804;-23.315;9.583;78.674
1;-0.52;-1.283;0.697;-25.024;12.756;85.327
1;-0.567;-1.223;0.592;-27.649;11.963;96.497
1;-0.581;-1.08;0.486;-33.508;7.996;111.694
1;-0.549;-0.865;0.375;-40.771;1.648;128.54
1;-0.552;-0.632;0.296;-48.462;-9.216;144.592
1;-0.5;-0.304;0.203;-57.495;-23.193;156.067
1;-0.423;0.061;0.142;-65.613;-36.316;162.537
1;-0.429;0.382;0.166;-70.74;-50.659;164.49
1;-0.451;0.685;0.204;-73.242;-61.768;162.72
1;-0.442;1.046;0.185;-71.167;-61.279;161.865
1;-0.423;1.383;0.151;-68.298;-54.81;163.818
1;-0.419;1.69;0.126;-73.303;-46.265;167.053
1;-0.339;1.973;0.158;-90.271;-33.997;169.556
1;-0.233;2.215;0.254;-113.037;-23.743;170.41
1;-0.057;2.419;0.473;-132.202;-21.423;172.058
1;0.158;2.612;0.854;-147.644;-30.884;175.903
1;0.398;2.788;1.292;-159.363;-35.522;174.011
1;0.631;2.843;1.703;-154.907;-10.681;163.94
1;0.908;2.763;1.906;-133.789;28.625;141.724
1;1.153;2.582;1.857;-93.384;71.472;110.535
1;1.285;2.328;1.588;-40.283;100.525;75.378
1;1.318;2.065;1.249;7.263;106.628;36.194
1;1.253;1.775;0.95;40.588;96.313;-1.587
1;1.087;1.518;0.744;61.035;74.219;-32.166
1;0.889;1.312;0.635;72.083;43.152;-54.26
1;0.682;1.165;0.594;76.172;8.484;-70.923
1;0.506;1.091;0.6;74.463;-19.226;-83.496
1;0.37;1.027;0.639;67.627;-32.593;-91.858
1;0.3;0.983;0.676;58.105;-32.959;-97.961
1;0.219;0.953;0.706;50.293;-25.757;-104.065
1;0.115;0.935;0.758;46.143;-21.118;-109.558
1;0.019;0.945;0.828;49.316;-23.743;-113.647
1;-0.068;0.933;0.889;62.439;-29.846;-115.906
1;-0.087;0.916;0.886;80.75;-32.349;-114.136
1;-0.055;0.868;0.837;94.971;-27.771;-108.154
1;-0.018;0.841;0.783;99.67;-20.203;-103.149
1;0.045;0.824;0.756;96.008;-15.991;-102.051
1;0.037;0.779;0.735;92.041;-11.475;-100.647
1;0.113;0.629;0.703;87.402;-3.296;-98.755
1;0.136;0.481;0.699;80.139;0.183;-96.069
1;0.121;0.344;0.684;75.195;-1.526;-94.849
1;0.087;0.217;0.684;74.341;-7.507;-96.069
1;0.021;0.087;0.703;75.684;-16.418;-99.365
1;-0.071;-0.012;0.701;76.294;-24.78;-104.065
1;-0.132;-0.064;0.702;73.12;-30.64;-106.445
1;-0.173;-0.121;0.71;63.599;-32.349;-105.408
1;-0.195;-0.167;0.725;50.049;-32.288;-105.042
1;-0.201;-0.255;0.767;35.95;-31.189;-104.492
1;-0.247;-0.364;0.871;22.827;-29.297;-102.417
1;-0.285;-0.433;0.939;13;-23.987;-96.436
1;-0.292;-0.481;0.972;8.85;-17.273;-85.815
1;-0.317;-0.494;1.002;8.789;-15.625;-74.89
1;-0.323;-0.51;1.028;12.878;-14.282;-65.308
1;-0.335;-0.519;1.04;19.47;-10.376;-57.556
1;-0.372;-0.499;1.033;26.001;-6.653;-52.124
1;-0.39;-0.494;1.044;29.602;-2.747;-48.096
1;-0.402;-0.507;1.053;30.823;4.7;-44.556
1;-0.401;-0.517;1.024;32.837;15.015;-43.64
1;-0.411;-0.525;0.992;33.875;22.888;-43.152
1;-0.42;-0.553;0.968;33.813;28.992;-40.039
1;-0.378;-0.602;0.952;33.875;32.227;-34.119
1;-0.232;-0.704;0.882;33.325;35.767;-24.048
1;-0.011;-0.84;0.784;29.419;41.748;-10.742
1;0.239;-0.912;0.686;15.564;45.471;0.61
1;0.42;-0.915;0.665;-9.338;38.452;6.47
1;0.443;-0.776;0.726;-38.025;17.029;2.38
1;0.289;-0.57;0.849;-63.171;-21.606;-12.939
1;0.049;-0.372;1.018;-78.735;-68.726;-32.288
1;-0.246;-0.208;1.228;-83.74;-106.567;-47.791
1;-0.476;-0.026;1.351;-79.285;-121.887;-52.979
1;-0.526;0.089;1.404;-67.383;-111.755;-45.349
1;-0.468;0.082;1.415;-53.101;-85.022;-31.067
1;-0.355;0.041;1.347;-41.87;-50.354;-18.921
1;-0.248;0.025;1.247;-35.583;-15.137;-11.902
1;-0.116;0.033;1.161;-33.203;12.024;-2.625
1;0.019;0.04;1.094;-34.424;31.433;7.446
1;0.143;0.046;1.057;-37.598;45.959;11.353
1;0.22;0.034;1.025;-39.185;53.162;8.423
1;0.271;0.025;0.989;-36.194;53.833;5.249
1;0.338;0.019;0.974;-27.527;51.208;3.967
1;0.379;-0.009;0.933;-13.55;49.683;1.343
1;0.39;-0.047;0.908;0.916;44.495;-5.005
1;0.314;-0.084;0.934;11.414;32.288;-15.503
1;0.169;-0.115;0.985;17.761;20.447;-25.391
1;0.071;-0.145;1.005;23.376;13.916;-30.884
1;0.013;-0.183;1.001;28.503;10.681;-32.471
1;-0.034;-0.212;0.993;30.823;7.507;-32.288
1;-0.07;-0.234;0.974;29.846;2.93;-31.189
1;-0.082;-0.238;0.949;26.184;-2.014;-28.381
1;-0.069;-0.222;0.929;20.081;-5.859;-24.17
1;-0.05;-0.19;0.936;12.634;-7.935;-18.86
1;-0.022;-0.164;0.951;4.883;-8.789;-14.526
1;-0.005;-0.141;0.942;1.648;-9.46;-11.658
1;0.01;-0.111;0.92;2.563;-9.46;-10.803
1;0.011;-0.078;0.909;4.639;-8.728;-11.963
1;-0.004;-0.071;0.95;5.493;-7.751;-14.648
1;-0.038;-0.086;0.979;7.69;-5.554;-16.174
1;-0.056;-0.095;0.967;13.184;-3.54;-16.907
1;-0.054;-0.107;0.943;18.066;-3.479;-16.113
1;-0.05;-0.125;0.929;19.714;-2.747;-13.367
1;-0.052;-0.147;0.92;18.982;-0.122;-10.132
1;-0.049;-0.159;0.905;17.822;2.625;-6.47
1;-0.038;-0.166;0.895;15.32;4.028;-2.197
1;-0.019;-0.16;0.905;10.986;4.211;1.77
1;0.002;-0.153;0.914;6.47;3.845;5.127
1;0.021;-0.137;0.926;3.174;2.136;7.385
1;0.04;-0.103;0.94;0;-1.16;9.094
1;0.073;-0.083;0.953;-2.319;-2.625;10.315
1;0.086;-0.071;0.962;-3.723;-2.991;10.071
1;0.095;-0.051;0.969;-4.395;-3.601;10.01
1;-0.414;-0.876;1.371;21.912;29.907;5.249
1;-0.453;-1.014;1.312;27.161;44.067;2.686
1;-0.494;-1.159;1.248;31.738;53.284;2.441
1;-0.518;-1.277;1.165;34.546;55.725;4.211
1;-0.532;-1.383;1.093;36.011;51.147;11.597
1;-0.509;-1.443;1.034;36.194;38.879;24.719
1;-0.513;-1.451;0.97;33.081;19.714;40.344
1;-0.518;-1.412;0.896;27.771;0.244;56.885
1;-0.522;-1.387;0.837;22.522;-12.756;74.951
1;-0.534;-1.331;0.788;15.076;-20.752;93.811
1;-0.535;-1.236;0.724;3.845;-25.391;112.122
1;-0.518;-1.113;0.664;-10.803;-27.161;127.197
1;-0.516;-0.965;0.589;-27.283;-25.024;138
1;-0.498;-0.758;0.48;-40.771;-20.63;145.264
1;-0.495;-0.556;0.371;-50.049;-18.494;151.489
1;-0.511;-0.322;0.283;-57.678;-21.24;157.41
1;-0.507;-0.005;0.229;-62.439;-28.687;162.781
1;-0.507;0.35;0.204;-61.89;-39.124;169.678
1;-0.476;0.726;0.152;-58.167;-49.072;176.208
1;-0.425;1.055;0.079;-59.204;-54.993;178.955
1;-0.406;1.357;0.004;-69.336;-55.176;177.063
1;-0.421;1.67;-0.047;-84.351;-53.284;174.683
1;-0.353;2.029;0.021;-107.544;-53.65;175.232
1;-0.244;2.32;0.255;-140.991;-52.673;177.063
1;-0.055;2.544;0.581;-173.401;-43.091;178.162
1;0.145;2.756;0.941;-188.782;-36.255;173.462
1;0.365;2.887;1.296;-184.937;-29.297;162.72
1;0.63;2.914;1.629;-172.852;-23.926;145.813
1;0.887;2.856;1.884;-158.02;-10.681;120.3
1;1.099;2.682;1.935;-129.456;28.259;94.849
1;1.231;2.432;1.727;-78.918;79.041;67.688
1;1.245;2.18;1.362;-18.921;106.628;31.677
1;1.21;1.926;0.98;25.391;100.342;-6.531
1;1.102;1.658;0.695;53.955;77.087;-33.203
1;0.959;1.427;0.524;72.144;49.133;-51.27
1;0.799;1.279;0.427;81.421;18.982;-67.078
1;0.66;1.208;0.363;82.275;-6.287;-81.177
1;0.54;1.182;0.361;75.195;-21.301;-93.018
1;0.374;1.15;0.429;62.866;-28.503;-102.051
1;0.241;1.102;0.536;49.438;-30.518;-108.032
1;0.116;1.091;0.654;40.588;-29.663;-110.657
1;0.026;1.126;0.721;41.748;-28.076;-109.619
1;0.023;1.129;0.741;53.711;-26.184;-105.957
1;0.086;1.093;0.721;69.092;-24.902;-102.173
1;0.122;1.058;0.683;81.116;-24.597;-102.234
1;0.082;1.073;0.642;88.684;-28.32;-105.774
1;0.051;1.032;0.629;91.797;-33.875;-109.131
1;0.001;0.913;0.637;91.98;-35.339;-111.633
1;-0.074;0.794;0.642;90.82;-29.419;-112.915
1;-0.127;0.642;0.648;88.562;-18.799;-113.953
1;-0.137;0.38;0.677;83.923;-7.751;-116.15
1;-0.146;0.146;0.711;75.623;-0.977;-117.676
1;-0.175;-0.01;0.739;67.139;-0.793;-117.981
1;-0.217;-0.109;0.793;60.974;-6.958;-116.699
1;-0.253;-0.203;0.852;58.044;-14.709;-110.046
1;-0.275;-0.259;0.881;58.777;-19.592;-99.731
1;-0.274;-0.301;0.907;59.021;-23.743;-89.905
1;-0.264;-0.334;0.943;54.443;-24.658;-82.153
1;-0.29;-0.374;0.988;46.997;-22.156;-78.674
1;-0.328;-0.437;1.056;37.903;-18.005;-77.942
1;-0.34;-0.52;1.124;29.663;-10.498;-75.745
1;-0.367;-0.589;1.172;25.024;-2.93;-73.486
1;-0.382;-0.589;1.194;23.56;2.441;-73.12
1;-0.404;-0.625;1.237;23.01;8.789;-72.021
1;-0.432;-0.664;1.288;22.339;17.456;-67.139
1;-0.445;-0.666;1.304;25.269;28.198;-58.96
1;-0.425;-0.66;1.287;33.63;38.574;-50.781
1;-0.402;-0.666;1.264;42.847;47.668;-44.189
1;-0.329;-0.708;1.206;49.561;54.626;-40.894
1;-0.18;-0.824;1.104;55.603;63.354;-36.804
1;0.054;-0.947;0.944;57.19;71.472;-29.175
1;0.3;-1.031;0.783;52.917;72.998;-22.705
1;0.397;-1.022;0.674;42.053;57.678;-28.931
1;0.294;-0.89;0.675;24.048;20.752;-50.72
1;0.067;-0.689;0.796;3.052;-26.733;-74.341
1;-0.223;-0.545;1.005;-12.695;-64.575;-85.938
1;-0.544;-0.416;1.242;-19.47;-86.426;-85.999
1;-0.741;-0.305;1.401;-10.803;-84.717;-70.007
1;-0.704;-0.328;1.419;11.658;-60.852;-41.809
1;-0.531;-0.35;1.238;37.109;-27.161;-17.273
1;-0.361;-0.335;1.02;51.88;-1.465;-7.324
1;-0.257;-0.379;0.902;51.758;13.977;-5.005
1;-0.193;-0.414;0.818;44.983;26.123;-3.235
1;-0.124;-0.414;0.744;36.499;34.058;0.61
1;-0.041;-0.386;0.698;27.161;37.109;9.949
1;0.041;-0.359;0.648;20.264;36.987;20.386
1;0.13;-0.325;0.582;17.578;35.034;27.588
1;0.215;-0.281;0.545;15.259;30.579;32.654
1;0.285;-0.255;0.534;11.475;25.635;34.851
1;0.323;-0.249;0.554;5.31;18.799;30.151
1;0.315;-0.218;0.616;-3.662;7.935;19.592
1;0.318;-0.162;0.686;-13.733;-2.991;7.568
1;0.303;-0.135;0.791;-21.24;-13.367;-3.906
1;0.205;-0.14;0.936;-24.841;-23.682;-13.672
1;0.096;-0.146;1.066;-23.56;-28.381;-17.639
1;0.029;-0.156;1.158;-18.005;-24.231;-13.977
1;0.029;-0.161;1.19;-9.644;-14.954;-6.958
1;0.054;-0.173;1.152;-0.61;-5.432;-3.723
1;0.096;-0.177;1.095;3.662;1.099;-5.554
1;0.127;-0.205;1.056;3.052;8.484;-8.484
1;0.133;-0.226;1.016;1.221;15.747;-10.803
1;0.141;-0.241;0.984;0.854;18.86;-10.559
1;0.156;-0.249;0.957;0.549;18.25;-7.019
1;0.173;-0.227;0.936;-0.061;15.198;-3.174
1;0.185;-0.212;0.931;-1.404;10.437;-1.099
1;0.175;-0.193;0.933;-2.563;5.798;0.61
1;0.188;-0.167;0.941;-4.211;2.197;2.502
1;0.189;-0.148;0.952;-5.676;0.366;3.601
1;0.163;-0.131;0.976;-6.104;-1.953;2.197
1;0.148;-0.119;0.994;-5.066;-3.54;0.793
1;0.153;-0.11;1.01;-3.052;-3.845;0.916
1;0.152;-0.113;1.02;-0.366;-3.601;-0.061
1;0.142;-0.122;1.01;1.587;-2.014;-2.686
1;0.139;-0.134;1;2.319;0.671;-5.127
1;0.133;-0.158;1.01;1.404;2.075;-6.348
1;0.112;-0.172;1.002;0.671;1.16;-7.263
1;0.105;-0.182;0.985;1.953;0.671;-6.836
1;0.108;-0.19;0.968;2.441;-0.244;-4.578
1;0.111;-0.194;0.965;1.892;-1.526;-1.465
1;-0.406;-1.194;1.05;12.634;12.39;15.076
1;-0.436;-1.281;0.98;7.568;15.686;21.729
1;-0.463;-1.358;0.908;0;17.09;32.532
1;-0.478;-1.411;0.841;-8.911;14.709;45.593
1;-0.503;-1.389;0.778;-18.433;8.667;60.669
1;-0.549;-1.334;0.72;-26.794;1.709;77.576
1;-0.58;-1.283;0.668;-33.997;-3.845;95.093
1;-0.577;-1.225;0.609;-42.969;-7.996;113.403
1;-0.562;-1.139;0.54;-55.054;-11.23;131.836
1;-0.572;-0.964;0.469;-69.153;-16.663;149.597
1;-0.544;-0.663;0.389;-82.458;-23.437;165.955
1;-0.495;-0.281;0.332;-93.689;-32.227;176.27
1;-0.458;0.072;0.321;-98.816;-46.265;179.993
1;-0.412;0.457;0.322;-98.511;-61.157;179.077
1;-0.359;0.845;0.343;-93.384;-71.594;174.133
1;-0.327;1.159;0.416;-85.388;-77.698;166.016
1;-0.323;1.401;0.467;-77.576;-74.768;155.273
1;-0.351;1.634;0.441;-75.623;-55.176;141.663
1;-0.378;1.797;0.361;-83.435;-19.714;130.31
1;-0.354;1.917;0.265;-99.304;18.494;127.258
1;-0.179;2.045;0.193;-117.249;46.326;132.751
1;0.035;2.265;0.294;-133.545;49.561;141.785
1;0.305;2.584;0.561;-146.423;36.194;144.165
1;0.627;2.797;1.043;-159.729;14.648;143.677
1;0.915;2.911;1.519;-161.377;-0.061;134.338
1;1.155;2.888;1.802;-139.587;12.817;113.647
1;1.341;2.642;1.706;-90.332;54.871;81.116
1;1.328;2.278;1.381;-26.306;90.515;37.109
1;1.198;1.912;1.001;27.405;94.116;-6.592
1;0.996;1.528;0.738;62.744;73.792;-36.316
1;0.771;1.238;0.639;80.078;39.734;-53.406
1;0.576;1.101;0.623;82.703;2.991;-62.988
1;0.465;1.058;0.652;77.271;-24.902;-68.665
1;0.411;1.018;0.663;70.984;-32.898;-72.021
1;0.386;0.968;0.664;64.27;-29.358;-76.416
1;0.361;0.929;0.672;58.716;-22.583;-81.909
1;0.335;0.937;0.687;55.542;-17.944;-84.106
1;0.317;0.967;0.719;56.335;-20.508;-84.045
1;0.266;1.003;0.787;63.232;-32.104;-84.778
1;0.202;0.995;0.841;74.829;-47.424;-87.952
1;0.166;0.942;0.861;86.487;-54.871;-90.515
1;0.179;0.82;0.84;94.666;-46.448;-89.233
1;0.195;0.708;0.777;97.229;-30.396;-87.769
1;0.206;0.612;0.688;93.75;-17.883;-89.661
1;0.228;0.562;0.603;87.158;-12.146;-91.187
1;0.232;0.498;0.56;78.918;-14.343;-90.454
1;0.208;0.425;0.549;70.251;-20.935;-88.623
1;0.17;0.373;0.557;61.768;-29.358;-85.449
1;0.137;0.31;0.603;52.002;-37.476;-81.665
1;0.129;0.18;0.697;42.175;-42.969;-78.369
1;0.079;0.102;0.781;34.18;-46.021;-77.637
1;0.032;0.048;0.878;28.015;-49.683;-79.834
1;-0.008;-0.047;0.979;25.208;-49.5;-82.275
1;-0.041;-0.127;1.039;27.405;-44.189;-83.374
1;-0.071;-0.176;1.044;31.982;-37.842;-83.191
1;-0.099;-0.212;1.062;34.424;-36.804;-82.52
1;-0.194;-0.272;1.093;33.63;-39.063;-84.229
1;-0.284;-0.299;1.115;32.41;-39.124;-85.449
1;-0.365;-0.336;1.139;31.494;-35.706;-83.374
1;-0.403;-0.356;1.156;31.006;-29.541;-78.491
1;-0.411;-0.404;1.179;29.358;-20.813;-73.303
1;-0.391;-0.487;1.17;27.893;-9.338;-69.763
1;-0.371;-0.539;1.144;26.489;0.793;-69.275
1;-0.375;-0.556;1.137;22.766;6.165;-67.688
1;-0.409;-0.585;1.165;18.555;11.536;-64.148
1;-0.428;-0.613;1.177;18.005;18.188;-58.655
1;-0.427;-0.589;1.168;22.339;24.78;-49.438
1;-0.4;-0.556;1.154;30.396;31.189;-39.856
1;-0.363;-0.554;1.131;39.429;40.344;-34.302
1;-0.308;-0.605;1.063;48.096;52.185;-35.767
1;-0.225;-0.669;0.957;55.847;64.636;-39.917
1;-0.071;-0.738;0.798;59.692;75.989;-39.795
1;0.13;-0.803;0.64;58.411;83.984;-34.058
1;0.258;-0.862;0.519;51.27;81.848;-31.982
1;0.276;-0.803;0.475;34.119;61.401;-40.71
1;0.154;-0.662;0.568;10.803;25.635;-56.274
1;-0.041;-0.526;0.771;-10.986;-11.169;-69.519
1;-0.296;-0.465;1.022;-22.583;-40.894;-77.271
1;-0.524;-0.413;1.245;-19.897;-56.458;-71.533
1;-0.569;-0.338;1.343;-5.31;-53.589;-49.622
1;-0.501;-0.26;1.319;16.785;-41.443;-26.611
1;-0.378;-0.25;1.217;38.33;-26.489;-14.832
1;-0.249;-0.273;1.071;50.049;-9.521;-13.123
1;-0.17;-0.317;0.959;50.781;5.554;-14.526
1;-0.109;-0.353;0.86;43.579;18.127;-14.221
1;-0.053;-0.376;0.777;35.034;24.963;-9.094
1;0.013;-0.363;0.706;26.855;24.231;1.16
1;0.086;-0.321;0.662;18.982;17.883;14.038
1;0.152;-0.272;0.641;10.315;10.803;23.865
1;0.196;-0.223;0.648;0.366;5.737;28.442
1;0.234;-0.152;0.679;-10.315;2.075;28.015
1;0.25;-0.113;0.742;-19.836;-0.122;23.315
1;0.216;-0.098;0.821;-25.94;-2.075;16.418
1;0.187;-0.086;0.883;-27.588;-4.089;11.658
1;0.182;-0.075;0.927;-26.245;-5.615;8.789
1;0.167;-0.074;0.975;-23.56;-9.46;6.348
1;0.136;-0.091;1.029;-20.325;-12.817;4.211
1;0.116;-0.108;1.076;-17.334;-13.916;2.93
1;0.108;-0.115;1.108;-15.015;-12.756;3.052
1;0.111;-0.121;1.12;-13.306;-8.728;2.991
1;0.12;-0.131;1.105;-11.536;-3.174;1.892
1;0.134;-0.134;1.088;-10.132;0.916;0.305
1;0.141;-0.142;1.066;-8.362;3.906;-0.916
1;0.147;-0.146;1.042;-6.104;5.249;-1.343
1;0.148;-0.147;1.028;-3.845;6.165;-0.793
1;0.146;-0.142;1.021;-2.502;7.08;-0.549
1;0.149;-0.137;1.016;-1.282;8.789;-0.366
1;0.154;-0.131;1.013;-0.732;9.521;0
1;0.151;-0.12;1.001;-0.427;8.789;0.305
1;0.147;-0.118;0.984;1.099;7.629;0.122
1;0.154;-0.112;0.97;2.563;5.554;0.122
1;0.165;-0.106;0.972;2.319;2.869;0.671
1;0.169;-0.107;0.979;1.709;0.671;0.366
1;0.166;-0.101;0.989;1.343;-0.732;-0.61
1;0.153;-0.104;1;0.366;-2.075;-1.648
1;0.139;-0.107;1.002;0.122;-3.113;-2.319
1;0.124;-0.109;0.996;0.977;-2.808;-2.625
1;0.111;-0.117;0.983;1.77;-1.648;-2.686
1;0.104;-0.108;0.977;1.831;-0.549;-1.953
1;-0.026;2.448;0.587;-159.363;-43.274;138.611
